Red | Green | Blue | 0 - czarny;1 - biały;2 - czerwony;3 - pomaranczowy;4 - zolty;5 - zielony;6 - niebieski;7 - fioletowy
148;9;31;2
17;18;17;0
7;8;7;0
158;22;44;2
122;2;22;2
235;146;77;3
108;5;227;7
0;0;0;0
148;1;50;2
106;37;156;7
30;70;133;6
46;35;148;6
199;87;2;3
194;98;25;3
11;18;13;0
33;18;166;6
74;58;222;6
196;86;2;3
145;73;17;3
156;79;20;3
49;158;40;5
168;95;0;3
39;211;227;6
235;131;21;3
10;10;10;0
122;15;33;2
255;213;0;4
227;191;14;4
240;247;242;1
244;243;242;1
19;137;148;6
245;214;64;4
108;196;27;5
223;230;228;1
237;9;9;2
176;12;12;2
245;254;255;1
179;153;30;4
87;7;20;2
252;222;78;4
212;178;17;4
217;179;0;4
12;220;240;6
255;255;255;1
232;204;70;4
204;175;35;4
228;232;9;4
127;240;22;5
0;39;102;6
69;130;13;5
32;36;33;0
109;179;45;5
1;1;1;0
49;209;36;5
23;130;14;5
12;15;13;0
209;124;59;3
86;232;74;5
241;242;242;1
45;2;77;7
5;227;56;5
40;237;86;5
74;22;135;7
118;46;201;7
72;219;107;5
4;140;37;5
27;99;44;5
82;168;103;5
98;11;161;7
43;150;204;6
20;85;117;6
43;78;94;6
143;70;199;7
67;164;209;6
232;232;233;1
117;40;40;2
207;41;41;2
241;247;245;1
20;59;122;6
2;2;2;0
12;96;232;6
62;45;224;6
110;40;191;7
153;237;76;5
240;237;241;1
231;235;234;1
146;38;224;7
3;3;3;0
227;121;39;3
82;39;115;7
